timestamp,username,src_ip,dst_ip,url,url_category,action,threat_name,threat_category,bytes_in,bytes_out,user_agent,referer
2026-05-30T13:00:00Z,jsmith,10.0.4.23,52.84.12.37,https://example-News.com/page0,Technology,allowed,,,1845,1157,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:00:30Z,rmiller,10.0.4.24,52.84.12.200,https://example-Business.com/page1,News,allowed,,,1328,1452,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0",https://www.google.com/
2026-05-30T13:01:00Z,lchen,10.0.4.22,52.84.12.250,https://example-Education.com/page2,Business,allowed,,,1434,2244,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0",https://www.google.com/
2026-05-30T13:01:30Z,tperez,10.0.4.22,52.84.12.29,https://example-Education.com/page3,Business,allowed,,,1179,4782,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:02:00Z,jsmith,10.0.4.21,52.84.12.130,https://example-Technology.com/page4,Education,allowed,,,2267,1372,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:02:30Z,jsmith,10.0.4.23,52.84.12.245,https://example-News.com/page5,Search Engines,allowed,,,2012,994,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0",https://www.google.com/
2026-05-30T13:03:00Z,tperez,10.0.4.25,52.84.12.123,https://example-Business.com/page6,Education,allowed,,,1491,3872,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0",https://www.google.com/
2026-05-30T13:03:30Z,rmiller,10.0.4.22,52.84.12.21,https://example-Business.com/page7,Education,allowed,,,678,4211,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:04:00Z,jsmith,10.0.4.21,52.84.12.3,https://example-Technology.com/page8,Search Engines,allowed,,,2275,2366,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:04:30Z,jsmith,10.0.4.23,52.84.12.127,https://example-Education.com/page9,Search Engines,allowed,,,2284,3103,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:05:00Z,tperez,10.0.4.24,52.84.12.52,https://example-Education.com/page10,Search Engines,allowed,,,2354,3735,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:05:30Z,rmiller,10.0.4.24,52.84.12.167,https://example-Technology.com/page11,Search Engines,allowed,,,2007,2263,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:06:00Z,jsmith,10.0.4.21,52.84.12.37,https://example-Business.com/page12,Technology,allowed,,,2004,4528,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:06:30Z,rmiller,10.0.4.24,52.84.12.163,https://example-Business.com/page13,News,allowed,,,1827,2168,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Firefox/123.0,https://www.google.com/
2026-05-30T13:07:00Z,tperez,10.0.4.25,52.84.12.180,https://example-Technology.com/page14,Business,allowed,,,543,1161,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:07:30Z,rmiller,10.0.4.23,52.84.12.7,https://example-Technology.com/page15,Technology,allowed,,,2051,2045,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:08:00Z,rmiller,10.0.4.25,52.84.12.151,https://example-Education.com/page16,Education,allowed,,,1081,3414,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:08:30Z,tperez,10.0.4.23,52.84.12.240,https://example-Education.com/page17,News,allowed,,,1655,1919,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:09:00Z,akhan,10.0.4.24,52.84.12.163,https://example-Technology.com/page18,Business,allowed,,,1887,4389,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Firefox/123.0,https://www.google.com/
2026-05-30T13:09:30Z,rmiller,10.0.4.23,52.84.12.178,https://example-Search Engines.com/page19,Business,allowed,,,1585,2823,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:10:00Z,rmiller,10.0.4.22,52.84.12.153,https://example-News.com/page20,Search Engines,allowed,,,916,4393,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Firefox/123.0,https://www.google.com/
2026-05-30T13:10:30Z,tperez,10.0.4.21,52.84.12.101,https://example-Technology.com/page21,Technology,allowed,,,1969,2737,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Firefox/123.0,https://www.google.com/
2026-05-30T13:11:00Z,tperez,10.0.4.24,52.84.12.215,https://example-News.com/page22,Education,allowed,,,1153,946,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:11:30Z,rmiller,10.0.4.22,52.84.12.80,https://example-Technology.com/page23,Search Engines,allowed,,,1720,3237,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Firefox/123.0,https://www.google.com/
2026-05-30T13:12:00Z,jsmith,10.0.4.23,52.84.12.48,https://example-Business.com/page24,News,allowed,,,1801,2456,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0",https://www.google.com/
2026-05-30T13:12:30Z,rmiller,10.0.4.21,52.84.12.147,https://example-Search Engines.com/page25,Technology,allowed,,,1795,3601,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Firefox/123.0,https://www.google.com/
2026-05-30T13:13:00Z,tperez,10.0.4.21,52.84.12.78,https://example-Technology.com/page26,Business,allowed,,,1901,2401,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Firefox/123.0,https://www.google.com/
2026-05-30T13:13:30Z,akhan,10.0.4.23,52.84.12.157,https://example-Education.com/page27,Business,allowed,,,1224,3022,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Firefox/123.0,https://www.google.com/
2026-05-30T13:14:00Z,jsmith,10.0.4.21,52.84.12.251,https://example-Business.com/page28,News,allowed,,,1574,1473,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0",https://www.google.com/
2026-05-30T13:14:30Z,lchen,10.0.4.22,52.84.12.160,https://example-Education.com/page29,Business,allowed,,,1243,2040,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:15:00Z,jsmith,10.0.4.23,52.84.12.11,https://example-Business.com/page30,Education,allowed,,,2125,3048,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0",https://www.google.com/
2026-05-30T13:15:30Z,tperez,10.0.4.24,52.84.12.120,https://example-Business.com/page31,News,allowed,,,1458,2148,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:16:00Z,rmiller,10.0.4.21,52.84.12.43,https://example-Education.com/page32,Technology,allowed,,,2192,1345,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0",https://www.google.com/
2026-05-30T13:16:30Z,jsmith,10.0.4.25,52.84.12.25,https://example-Business.com/page33,Search Engines,allowed,,,894,4794,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0",https://www.google.com/
2026-05-30T13:17:00Z,rmiller,10.0.4.21,52.84.12.107,https://example-News.com/page34,News,allowed,,,1996,1983,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:17:30Z,lchen,10.0.4.23,52.84.12.174,https://example-Business.com/page35,Search Engines,allowed,,,2251,3062,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Firefox/123.0,https://www.google.com/
2026-05-30T13:18:00Z,rmiller,10.0.4.23,52.84.12.244,https://example-Education.com/page36,News,allowed,,,2216,1697,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:18:30Z,akhan,10.0.4.23,52.84.12.123,https://example-Search Engines.com/page37,Business,allowed,,,1017,3054,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0",https://www.google.com/
2026-05-30T13:19:00Z,jsmith,10.0.4.22,52.84.12.131,https://example-News.com/page38,Education,allowed,,,1529,2745,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Firefox/123.0,https://www.google.com/
2026-05-30T13:19:30Z,akhan,10.0.4.21,52.84.12.10,https://example-Education.com/page39,Technology,allowed,,,1158,1201,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Firefox/123.0,https://www.google.com/
2026-05-30T13:20:00Z,jsmith,10.0.4.21,52.84.12.94,https://example-Technology.com/page40,News,allowed,,,913,3839,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:20:30Z,akhan,10.0.4.24,52.84.12.7,https://example-Business.com/page41,Business,allowed,,,735,2220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0",https://www.google.com/
2026-05-30T13:21:00Z,jsmith,10.0.4.21,52.84.12.196,https://example-Education.com/page42,Business,allowed,,,1092,1600,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
2026-05-30T13:21:30Z,akhan,10.0.4.24,52.84.12.12,https://example-Search Engines.com/page43,Education,allowed,,,1953,2913,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Firefox/123.0,https://www.google.com/
2026-05-30T13:22:00Z,tperez,10.0.4.25,52.84.12.33,https://example-Search Engines.com/page44,Business,allowed,,,1658,3352,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0",https://www.google.com/
2026-05-30T13:22:30Z,rmiller,10.0.4.21,52.84.12.216,https://example-Education.com/page45,Education,allowed,,,1917,999,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0,https://www.google.com/
